"aspect","rating","raw_text","cleaned_text"
"teaching",0,"teacher are punctual but they should also give us the some practical knowledge other than theortical","teacher punctual also give us practical knowledge theortical"
"teaching",1,"Good","good"
"teaching",1,"Excellent lectures are delivered by teachers and all teachers are very punctual.","excellent lectures delivered teachers teachers punctual"
"teaching",1,"Good","good"
"teaching",1,"teachers give us all the information required to improve the performance.","teachers give us information required improve performance"
"teaching",1,"Yes","yes"
"teaching",1,"good and punctual","good punctual"
"teaching",1,"It is good","good"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
"teaching",1,"It's good when compare with my Btech lectures and teaching activities.","good compare btech lectures teaching activities"
"teaching",1,"Good","good"
"teaching",1,"way of teaching is good","way teaching good"
"teaching",0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine.","university teaching much dependent upon slidesthough easy way teaching still leaving concepts unclearotherwise interaction faculty goodlecture delivery sometimes upto mark punctuality fine"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
"teaching",1,"As compared to other colleges and university our university is perfect in all the aspects","compared colleges university university perfect aspects"
"teaching",1,"Good","good"
"teaching",1,"Lectures helps in clear our concept","lectures helps clear concept"
"teaching",0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.","talk punctuality really good lecture delivery somehow appreciated every teacher different style teaching lack knowledge terms subject interaction also kind boring teacher entertaining well really want us studios disciplined really thinking every student"
"teaching",1,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input.","university good delivering proper lecturesalso interaction students descent sometimes teachers lack terms punctuality overall university giving good input"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
"teaching",1,"lecturer are punctual and can interact them easily.","lecturer punctual interact easily"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
"teaching",0,"Punctuality is good. Most of the teachers are not interacting with students .","punctuality good teachers interacting students"
"teaching",1,"Good","good"
"teaching",1,"nice","nice"
"teaching",-1,"lecture delivery is not so good","lecture delivery good"
"teaching",1,"It's good","good"
"teaching",1,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture","discipline punctuality lecture delivery good hv work quality lecture"
"teaching",0,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems","interaction goodaccurate supplement material provided recommendation books poorthe change particular teacher 3 months semester subject causes problems"
"teaching",1,"Perfect","perfect"
"teaching",1,"It is really gud","really gud"
"teaching",0,"Very good teaching and management but too much load on student and working hours","good teaching management much load student working hours"
"teaching",-1,"in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.","terms lecture delivery goodin terms punctuality also good terms intraction bad teachers donot interact litsn problms means coprate"
"teaching",1,"According to me everything is going well in accordance to interaction.More than enough is served.","according everything going well accordance interactionmore enough served"
"teaching",0,"Very good teaching and management but too much load on student and working hours","good teaching management much load student working hours"
"teaching",-1,"not effective and satisfactory in terms of lecture delivery by all the faculty .","effective satisfactory terms lecture delivery faculty"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
"teaching",1,"Accurate","accurate"
"teaching",1,"It's good","good"
"teaching",1,"Good","good"
"teaching",1,"it is good depending on the faculty","good depending faculty"
"teaching",1,"maintained punctuality, good lecture delivery","maintained punctuality good lecture delivery"
"teaching",0,"average","average"
"teaching",0,"average","average"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",0,"average","average"
"teaching",1,"good","good"
"teaching",1,"it is quite good , depending on teacher and their experience","quite good depending teacher experience"
"teaching",1,"it is quite good , depends upon teacher and their experience","quite good depends upon teacher experience"
"teaching",1,"the way of teaching is good but the time more than enough","way teaching good time enough"
"teaching",1,"good teaching delivery","good teaching delivery"
"teaching",1,"good, teacher is delivery the lecture in the best way they can","good teacher delivery lecture best way"
"teaching",0,"good and qualified teachers but few lacks in interaction with students and fails to describe a topic","good qualified teachers lacks interaction students fails describe topic"
"teaching",0,"average","average"
"teaching",1,"very good teaching facilities, lecture given are fruitful and teachers are punctual","good teaching facilities lecture given fruitful teachers punctual"
"teaching",0,"interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.","interaction good mostly male lecturerspunctuality maintained everyone lecture delivery peak quality"
"teaching",1,"all things are good","things good"
"teaching",1,"all things are good","things good"
"teaching",1,"all activties are good","activties good"
"teaching",1,"all activties are good","activties good"
"teaching",1,"good","good"
"teaching",1,"All is good. no other university is so serious about the concept of practicals.","good university serious concept practicals"
"teaching",1,"lecture delivery depends on teacher's knowledge, punctuality is good","lecture delivery depends teachers knowledge punctuality good"
"teaching",1,"Good","good"
"teaching",1,"way of teaching is average","way teaching average"
"teaching",-1,"not so good","good"
"teaching",0,"average","average"
"teaching",1,"good","good"
"teaching",1,"the staff is highly punctual ad interactive and encourage students to participate in the class","staff highly punctual ad interactive encourage students participate class"
"teaching",1,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved","staff faculty members always available interaction punctual delivery lecture improved"
"teaching",1,"good delivery","good delivery"
"teaching",1,"good","good"
"teaching",1,"our university is good in terms of lecture delivery,interaction and punctuality","university good terms lecture deliveryinteraction punctuality"
"teaching",1,"good","good"
"teaching",1,"very good","good"
"teaching",1,"good","good"
"teaching",1,"interaction satisfied, lecture delivery good,punctuality always on time","interaction satisfied lecture delivery goodpunctuality always time"
"teaching",1,"Excellent but it depends upon teacher","excellent depends upon teacher"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",1,"Good","good"
"teaching",1,"good","good"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
